doc_id,actor,actor_type,positioning,context,platform,date,post_chatgpt,word_count,n_sentences,innovation_score,economic_score,risk_score,regulation_score,existential_score,none_pct,innovation_subcategory_dominant
38472692-0fbf-4e68-8f0a-002f21cd1388,Demis Hassabis,individual,safety,commercial,blog,2017-06-12,0,1081,13,0.3076923076923077,0.0,0.15384615384615385,0.15384615384615385,0.0,0.38461538461538464,scientific
08e3b963-8c0c-4ba0-bd51-793536b841f9,Demis Hassabis,individual,safety,commercial,blog,2022-05-06,0,555,5,0.0,0.0,0.0,0.0,0.0,1.0,
99e5dd87-448e-4242-93e0-0897470d528e,Demis Hassabis,individual,safety,commercial,blog,2026-04-22,1,430,14,0.35714285714285715,0.07142857142857142,0.0,0.0,0.0,0.5714285714285714,productivity
18a6230d-6d5c-4726-9662-64d859e00693,Demis Hassabis,individual,safety,commercial,blog,2022-06-17,0,711,15,0.2,0.0,0.26666666666666666,0.0,0.0,0.5333333333333333,scientific
46c452a2-c207-4655-949c-9ee4c80d451f,Demis Hassabis,individual,safety,commercial,blog,2019-11-18,0,1497,31,0.16129032258064516,0.03225806451612903,0.0,0.03225806451612903,0.0,0.8064516129032258,climate_energy
9d434184-eff6-4c01-abb7-ee766b3678b1,Demis Hassabis,individual,safety,commercial,blog,2020-10-12,0,5183,60,0.016666666666666666,0.0,0.0,0.0,0.0,0.9833333333333333,scientific
55380941-0814-44b9-9cf5-d904305d887c,Demis Hassabis,individual,safety,commercial,blog,2017-10-03,0,543,15,0.26666666666666666,0.0,0.0,0.3333333333333333,0.0,0.5333333333333333,other_progress
a25038e1-824f-4e18-a33e-9ec92438ff49,Demis Hassabis,individual,safety,commercial,blog,2021-05-07,0,1693,20,0.3,0.0,0.0,0.0,0.0,0.7,scientific
e2655e21-6212-4c65-8491-fc002bb3d6c3,Demis Hassabis,individual,safety,commercial,blog,2018-07-11,0,1076,13,0.0,0.0,0.0,0.0,0.0,1.0,
8fefe183-f40e-421b-af8b-25c7af8b9ef1,Demis Hassabis,individual,safety,commercial,blog,2019-07-31,0,1181,14,0.7857142857142857,0.0,0.0,0.0,0.0,0.21428571428571427,health_biotech
1240bbd6-0c36-4558-b56f-c9b795fd88e8,Demis Hassabis,individual,safety,commercial,blog,June 2025,1,49,1,1.0,0.0,0.0,0.0,0.0,0.0,climate_energy
8202fc4e-05eb-4cf3-a52f-27b097330f34,Demis Hassabis,individual,safety,commercial,blog,unknown,0,29,0,,,,,,,
5a398c54-91e4-4112-810b-cc54d6a5846f,Demis Hassabis,individual,safety,commercial,blog,2022-11-22,0,904,6,0.16666666666666666,0.0,0.0,0.0,0.0,0.8333333333333334,scientific
4d2b81f7-1159-4249-a2cc-927b700e96ac,Demis Hassabis,individual,safety,commercial,blog,2022-07-04,0,873,13,0.46153846153846156,0.0,0.07692307692307693,0.0,0.0,0.46153846153846156,scientific
9ab68db5-f23d-4dcb-bdf0-f41dde1a54be,Demis Hassabis,individual,safety,public,interview,2025-07-23,1,26417,162,0.2037037037037037,0.0,0.030864197530864196,0.024691358024691357,0.13580246913580246,0.6358024691358025,scientific
2b44f5e1-7c88-4a50-9d69-bfd41ad4398a,Demis Hassabis,individual,safety,commercial,blog,2017-10-06,0,1803,21,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.47619047619047616,scientific
f019df83-9976-435e-b031-a8613a0fe323,Demis Hassabis,individual,safety,commercial,blog,2022-03-03,0,499,1,0.0,0.0,0.0,0.0,0.0,1.0,
32e857bb-bb57-445f-bcd1-8201edb53614,Demis Hassabis,individual,safety,commercial,blog,2022-08-18,0,930,11,0.2727272727272727,0.0,0.0,0.0,0.2727272727272727,0.6363636363636364,scientific
2b599469-e5ba-4819-be00-ba242fb2169b,Demis Hassabis,individual,safety,commercial,blog,2018-06-13,0,299,3,0.0,0.0,0.0,1.0,0.0,0.0,
c9c767cd-8384-4ce1-9102-92843d2c6a6d,Demis Hassabis,individual,safety,commercial,blog,2019-07-25,0,1398,22,0.22727272727272727,0.0,0.0,0.0,0.0,0.7727272727272727,productivity
e098df6c-a6ad-4fa0-88fe-1d2911b517f1,Demis Hassabis,individual,safety,commercial,blog,2017-11-10,0,1278,0,,,,,,,
f4185566-1417-4660-9020-4cba07d57f32,Demis Hassabis,individual,safety,commercial,blog,unknown,0,99,3,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,scientific
94cf8f41-8966-45ab-bbc6-9272104fd3d7,Demis Hassabis,individual,safety,commercial,blog,2025-05-20,1,791,20,0.1,0.0,0.8,0.0,0.0,0.1,productivity
fa5d6b69-669d-4632-bf16-a2aede073747,Demis Hassabis,individual,safety,public,research_paper,2025-07-23,1,1481,20,0.4,0.0,0.0,0.05,0.0,0.55,scientific
2a22ae58-0114-45dd-85e4-424c7379fc67,Demis Hassabis,individual,safety,commercial,blog,2020-04-06,0,2325,14,0.42857142857142855,0.0,0.0,0.0,0.0,0.5714285714285714,scientific
e163c4bd-84f7-4237-a6ea-bb2ff627c3f1,Demis Hassabis,individual,safety,commercial,blog,2018-04-11,0,458,7,0.2857142857142857,0.0,0.0,0.0,0.0,0.7142857142857143,scientific
547e4d2f-d7e1-4fff-99be-8b8f06c13826,Demis Hassabis,individual,safety,commercial,blog,2023-11-15,1,845,26,0.5,0.0,0.0,0.0,0.0,0.5,other_progress
b5a68b73-6aee-4e50-af65-03d5b247d6a3,Demis Hassabis,individual,safety,commercial,blog,2017-08-04,0,880,10,0.0,0.0,0.0,0.0,0.0,1.0,
91efe145-1c80-4135-a810-515f57cc1b35,Demis Hassabis,individual,safety,public,research_paper,unknown,0,365,8,0.5,0.0,0.0,0.0,0.0,0.5,scientific
13f0e881-98ff-4d64-b17f-1aac716e6174,Demis Hassabis,individual,safety,commercial,blog,October 20,1,58,1,1.0,0.0,0.0,0.0,0.0,0.0,scientific
f780091d-f6fb-4414-ae8d-cdb6385dc444,Demis Hassabis,individual,safety,commercial,blog,2025-09-04,1,1295,3,1.0,0.0,0.0,0.0,0.0,0.0,scientific
0ac74964-8c3a-45b5-8a3f-4d4c1ccd8e57,Demis Hassabis,individual,safety,commercial,blog,2017-11-22,0,763,14,0.21428571428571427,0.0,0.0,0.0,0.0,0.7857142857142857,productivity
cab1c4c7-4eab-4b45-92f7-a0346ba65698,Demis Hassabis,individual,safety,commercial,blog,unknown,0,86,0,,,,,,,
0e07d021-2261-468e-81ac-dd366411f643,Demis Hassabis,individual,safety,commercial,blog,2018-10-17,0,569,4,0.0,0.0,0.25,0.0,0.0,0.75,
1681ad0d-a16a-42cb-92f8-4eeae15f0a67,Demis Hassabis,individual,safety,commercial,blog,2017-12-01,0,1943,22,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.9090909090909091,productivity
4725a2f6-bbb8-40be-95b0-1f349bdd9a41,Demis Hassabis,individual,safety,commercial,blog,2020-05-18,0,1608,16,0.25,0.0,0.0625,0.0,0.0,0.6875,health_biotech
3d939fab-5c3d-47d1-b93e-4403db243743,Demis Hassabis,individual,safety,commercial,blog,2018-08-06,0,924,1,0.0,0.0,0.0,0.0,0.0,1.0,
8653a7b3-397b-4515-82fe-72b061a18153,Demis Hassabis,individual,safety,commercial,blog,2017-11-27,0,890,14,0.35714285714285715,0.0,0.0,0.0,0.0,0.6428571428571429,scientific
ee0c2650-7ed4-4ebb-9fe0-89b0b31e7e4e,Demis Hassabis,individual,safety,commercial,blog,2019-03-07,0,1204,21,0.2857142857142857,0.0,0.0,0.0,0.0,0.7142857142857143,scientific
a55d65b9-8a7b-4f2c-9af3-63fc78067365,Demis Hassabis,individual,safety,commercial,blog,2017-06-21,0,794,3,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,health_biotech
47d71255-3cf2-4247-b8da-9834a4513f00,Demis Hassabis,individual,safety,commercial,blog,2025-06-25,1,1901,20,0.45,0.0,0.0,0.0,0.0,0.55,health_biotech
5c495cfa-c218-47fb-9ac4-f876de686108,Demis Hassabis,individual,safety,commercial,blog,unknown,0,72,1,0.0,0.0,0.0,0.0,0.0,1.0,
30d04b51-359a-4427-a571-024e341b7e2a,Demis Hassabis,individual,safety,commercial,blog,2025-08-07,1,855,9,0.4444444444444444,0.0,0.0,0.0,0.0,0.5555555555555556,climate_energy
15bde3f2-685a-4eb9-9e2e-12b03e63e21f,Demis Hassabis,individual,safety,public,research_paper,unknown,0,238,0,,,,,,,
ac469bc5-8ca4-439b-aefa-d575436d6b5b,Demis Hassabis,individual,safety,commercial,blog,2017-11-28,0,1040,5,0.0,0.0,0.2,0.0,0.0,0.8,
8032bfb9-57e8-47de-8b54-6ebfa0222562,Demis Hassabis,individual,safety,commercial,blog,2017-07-20,0,999,4,0.0,0.0,0.0,0.0,0.0,1.0,
9ee60334-7a45-4cca-96d3-23d8d55e10ef,Demis Hassabis,individual,safety,commercial,blog,2017-12-19,0,1151,7,0.0,0.0,0.0,0.0,0.0,1.0,
9bf631c2-bfca-489a-9cd5-74970d77442b,Demis Hassabis,individual,safety,commercial,blog,2018-06-14,0,1233,8,0.625,0.0,0.0,0.0,0.0,0.375,scientific
3173b096-1b95-4947-bfcd-38cf4cee6c0d,Demis Hassabis,individual,safety,public,research_paper,unknown,0,182,2,0.5,0.0,0.0,0.0,0.0,0.5,scientific
85d253dd-7d87-4b9a-b85a-26fb5c6c79b1,Demis Hassabis,individual,safety,commercial,blog,2018-08-17,0,846,20,0.3,0.25,0.0,0.0,0.0,0.55,productivity
a4610a30-0238-4a5a-83b0-f1f7528889c4,Demis Hassabis,individual,safety,commercial,blog,2021-05-06,0,1401,11,0.09090909090909091,0.0,0.0,0.0,0.0,0.9090909090909091,scientific
da6163d6-f1e6-46bc-9013-7e9e0776cbb1,Demis Hassabis,individual,safety,commercial,blog,2025-07-30,1,1321,16,0.25,0.0625,0.0,0.0,0.0,0.6875,scientific
234d0453-3617-4ee8-a8fe-49b6ab44c652,Demis Hassabis,individual,safety,public,research_paper,unknown,0,564,13,0.46153846153846156,0.0,0.0,0.0,0.0,0.5384615384615384,scientific
0c688ed8-89f1-4b6e-a167-ccc26b74125a,Demis Hassabis,individual,safety,commercial,blog,2017-08-04,0,1042,15,0.26666666666666666,0.0,0.0,0.0,0.0,0.7333333333333333,scientific
c73b7325-d97e-4bc1-9760-273d94d4b5da,Demis Hassabis,individual,safety,commercial,blog,2024-01-02,1,1032,11,0.18181818181818182,0.0,0.2727272727272727,0.0,0.0,0.6363636363636364,scientific
